term,furigana,definition,notes,warnings,example1,example2
地帯,ちたい,ある特ちょうによって区切られた、一定の広がりをもつ地域。,,,,
中世,ちゅうせい,古代と近世の間を表す歴史の時代区分。,,,,
長官,ちょうかん,官庁でいちばん上の役目。,,,,
調査,ちょうさ,物事の姿や動きなどを明らかにするために調べること。,,,,
貯金,ちょきん,お金をためること。,,,,
追求,ついきゅう,目的のものを、どこまでも追い求めること。,,,,
通過,つうか,ある場所や時を通り過ぎること。,,,,
提案,ていあん,会議などにある考えを出すこと。,,,,
提供,ていきょう,自分のものを差し出すこと。,,,,
停止,ていし,ある場所や時にとどまること。,,,,
停車,ていしゃ,列車や電車などが止まること。,,,,
提出,ていしゅつ,書類などを決められた場所に出すこと。,,,,
程度,ていど,物事の度合い。,,,,
適切,てきせつ,ぴったりあてはまる様子。,,,,
適当,てきとう,ほどよくあてはまる様子。,,,,
鉄鉱,てっこう,鉄をふくみ、鉄の原料になる石。,,,,
転居,てんきょ,住まいをかえること。,,,,
天候,てんこう,気候に比べて、短い期間の天気の状態。,,,,
伝言,でんごん,人にたのんで用事を伝えてもらうこと。,,,,
伝統,でんとう,古くから伝えられてきたならわしなど。,,,,
天然,てんねん,自然のままであること。,,,,
同一,どういつ,全く同じであること。,,,,
冬至,とうじ,太陽が一年中でいちばん南に寄る日。,,,,
灯台,とうだい,夜、船が安全に進めるように強い光を出す高い建物。,,,,
投票,とうひょう,物事を決めるとき、だれかを選ぶときなどに、紙に書いて箱などに入れること。,,,,
糖分,とうぶん,あまみや糖の成分。,,,,
同盟,どうめい,二人以上の人などが、同じ目的のために、同じ行動をとることを約束すること。,,,,
度胸,どきょう,物事をおそれない心。,,,,
得意,とくい,思いどおりになって満足している様子。,,,,
読本,とくほん,昔の国語の教科書のこと。,,,読本を読む。,祖母と読本を見る。
土俵,どひょう,すもうをとる場所。,,,,
徒歩,とほ,乗り物を使わずに歩くこと。,,,,
友達,ともだち,親しくつき合っている人。友人。,,,,
努力,どりょく,ある目的のために、一生けんめいにやること。,,,,
内容,ないよう,あるものの中にあるもの。文章や言葉によって表されることがら。,,,話の内容。,手紙の内容。
仲間,なかま,いっしょに同じ物事をする人や友達。,,,,
菜種,なたね,あぶらなの種。,,,,
名札,なふだ,名前を書いた札。,,,服に名札をつける。,ぼくの名札。
生卵,なまたまご,生のままの卵。,,,,
並木,なみき,並んで立っている樹木。,,,,
南極,なんきょく,地球の南のはし。また、そのあたりの地方。,,,,
難題,なんだい,難しい問題。,,,,
難問,なんもん,難しい問題。,,,,
日程,にってい,仕事や行事などの予定。日どり。,,,,
任命,にんめい,役目や仕事につくように命じること。,,,,
値段,ねだん,ものを売り買いする金額。,,,,
熱意,ねつい,物事に対する強い意気ごみ。,,,,
熱心,ねっしん,一つのことに心をこめて、一生けんめいはげむ様子。,,,,
熱湯,ねっとう,ふっとうしている湯。,,,,
年賀,ねんが,新しい年を祝うこと。,,,,
燃料,ねんりょう,燃やして、熱や光などを得る材料。,,,,
能力,のうりょく,物事をすることができる力。,,,,
俳句,はいく,五・七・五の十七音からなる、日本独特の詩。,,,俳句と短歌。,俳句の作り方。
背景,はいけい,背後の光景。物事の背後にある事情。,,,,
拝見,はいけん,「見る」「読む」「調べる」のへりくだった言い方。,,,,
灰皿,はいざら,たばこの灰や吸いがらを入れる皿。,,,ガラスでできた灰皿。,タバコは灰皿に捨てよう。
配置,はいち,役目や場所を割り当てること。,,,,
博士,はかせ,学問やその道の知識にくわしい人。,博士は「はくし」とも読む。,,,
発育,はついく,生き物が、育って大きくなること。,,,,
発音,はつおん,言葉の音を声に出して言うこと。,,,英語の発音。,発音が良い。
発芽,はつが,草木が芽を出すこと。,,,,
発車,はっしゃ,列車や電車などが動き出すこと。,,,,
発声,はっせい,声を出すこと。声の出し方。,,,発声練習をする。,発声の仕方。
発展,はってん,物事がさかんになって栄えること。,,,,
花束,はなたば,いろいろな花をたばねたもの。,,,,
晩秋,ばんしゅう,秋の終わり。秋の末。,,,,
反省,はんせい,自分の行いをふり返り、考え直すこと。,,,,
反対,はんたい,人の意見に逆らいそむくこと。,,,,
判断,はんだん,よいか悪いかを考えて決めること。,,,,
飛行,ひこう,空中を飛ぶこと。,,,,
非常,ひじょう,ふつうとはちがう、さしせまった状態。,,,建物の非常口を探す。,学校の非常階段。
必死,ひっし,一生けんめいになる様子。,,,,
必要,ひつよう,なくてはならない様子。,,,,
批判,ひはん,物事のよい悪いを判断して、述べること。,,,,
費用,ひよう,何かをしたり、ものを買うために必要となるお金。,,,,
表情,ひょうじょう,感情が、顔つきや身ぶりに表れたもの。,,,,
飛来,ひらい,飛んで来ること。,,,,
肥料,ひりょう,作物の育ちがよくなるように、土などに入れるもの。,,,,
非礼,ひれい,礼をわきまえないこと。,,,非礼な態度。,非礼な人。
品質,ひんしつ,品物にそなわった性質。,,,,
貧乏,びんぼう,お金や物が不足して、生活が貧しいこと。,,,,
風景,ふうけい,目に映る広いはん囲のながめ。景色。,,,,
夫婦,ふうふ,結こんしている一組の男女。,,「夫」（ふう）という読みは、小学生では習いません。,,
付近,ふきん,近くの場所。その辺り。近辺。,,,,
服装,ふくそう,衣服を着たときの様子。,,,,
腹痛,ふくつう,おなかが痛むこと。はらいた。,,,,
夫妻,ふさい,夫と妻。,,,,
節目,ふしめ,物事の区切れ目。,,,,
婦人,ふじん,成人した女性。一人前の女性。,,,,
夫人,ふじん,他の人の妻を敬っていう言葉。,,,,
不足,ふそく,たりないこと。十分でない様子。,,,晴天が続いて、水が不足する。,不足を補う。
復興,ふっこう,もとのようにさかんになること。,,,,
仏像,ぶつぞう,仏の姿を表した像。,,,,
不便,ふべん,便利でない様子。,,,電気がない生活は不便だ。,不便な土地。
不要,ふよう,必要でない様子。,,,,
不利,ふり,条件が悪い様子。,,,不利な状きょう。,不利な条件。
古巣,ふるす,前にすんでいた巣。また、前に住んでいたり、働いていたりした所をたとえた言葉。,,,,
奮起,ふんき,元気を出してふるい立つこと。,,,,
分類,ぶんるい,種類や性質によって分けること。,,,,
兵士,へいし,いくさをする人。,,,,
